195, 100%, 27%
195, 100%, 47%
196, 60%, 49%
197, 72%, 55%
200, 29%, 55%
200, 61%, 50%
202, 18%, 46%
202, 39%, 68%
202, 97%, 75%
203, 92%, 75%
205, 55%, 75%
206, 29%, 45%
207, 44%, 49%
207, 100%, 69%
208, 89%, 67%
209, 34%, 47%
210, 13%, 50%
210, 28%, 52%
210, 79%, 30%
210, 99%, 69%
211, 13%, 48%
211, 49%, 64%
211, 100%, 89%
212, 98%, 50%
213, 26%, 42%
213, 48%, 29%
214, 22%, 26%
214, 41%, 78%
214, 100%, 75%
215, 50%, 34%
215, 73%, 62%
216, 81%, 62%
219, 55%, 38%
219, 90%, 66%
220, 60%, 65%
223, 99%, 49%
225, 60%, 52%
225, 100%, 50%
228, 52%, 28%
230, 57%, 36%
234, 67%, 94%
240, 25%, 25%
240, 33%, 51%
252, 100%, 50%
260, 50%, 61%
264, 100%, 50%
270, 100%, 50%
271, 76%, 53%
272, 12%, 44%
276, 100%, 69%
280, 18%, 42%
280, 61%, 34%
280, 61%, 50%
280, 100%, 50%
